Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
2142.75,2163.09,2127.96,2142.92,2520.62,3311.37,32.44,-133.24,-22.58,-110.66,3.0
2204.3,2243.78,2202.7,2204.43,2518.05,3304.7,37.66,-127.86,-13.76,-114.1,1.0
2241.23,2243.75,2201.41,2223.92,2515.73,3298.87,39.26,-120.63,-5.22,-115.41,-2.0
2211.3,2219.87,2161.41,2168.73,2508.76,3292.89,36.41,-118.0,-2.07,-115.93,-5.0
2124.11,2124.11,2041.78,2052.78,2499.95,3287.33,31.27,-123.84,-6.33,-117.51,-6.0
2001.68,2004.09,1922.78,1923.38,2487.63,3280.6,26.73,-137.32,-15.85,-121.47,5.0
1948.7,2015.35,1932.63,2014.78,2476.77,3274.64,34.01,-139.03,-14.05,-124.98,-2.0
1948.56,2028.53,1933.4,1972.09,2466.8,3268.48,32.4,-142.19,-13.77,-128.43,-2.0
2023.79,2030.73,1939.38,1940.71,2459.78,3260.88,31.22,-145.55,-13.7,-131.85,-3.0
1914.58,1940.71,1877.69,1890.91,2445.26,3253.33,29.39,-150.5,-14.92,-135.58,3.0
1901.45,1953.08,1867.58,1951.18,2432.95,3245.18,34.39,-147.85,-9.82,-138.03,-5.0
1964.45,1974.14,1857.41,1857.44,2421.94,3235.4,30.75,-151.57,-10.83,-140.74,-1.0
1862.74,1896.21,1820.75,1830.23,2410.63,3225.44,29.76,-154.93,-11.35,-143.58,4.0
1845.34,1898.1,1794.21,1897.7,2399.76,3216.15,35.3,-150.41,-5.46,-144.94,2.0
1938.91,1952.92,1891.99,1928.68,2387.85,3206.59,37.73,-142.68,1.81,-144.49,-1.0
1957.71,1960.68,1909.42,1918.49,2373.41,3197.06,37.23,-135.82,6.94,-142.76,3.0
1922.7,1979.75,1907.16,1972.23,2360.32,3187.55,41.59,-124.6,14.52,-139.13,-6.0
1925.3,1925.3,1852.96,1854.13,2345.03,3177.98,35.72,-123.82,12.25,-136.07,-2.0
1838.44,1876.74,1802.76,1820.57,2327.79,3167.83,34.25,-124.47,9.28,-133.75,1.0
1830.42,1855.58,1794.3,1840.26,2309.22,3158.04,35.92,-121.99,9.4,-131.4,-3.0
1835.22,1852.49,1769.66,1782.97,2289.48,3147.73,33.27,-123.23,6.53,-129.76,-6.0
1758.18,1759.01,1660.92,1673.0,2267.78,3136.79,28.86,-131.57,-1.44,-130.12,-2.0
1668.37,1698.21,1619.58,1638.8,2243.75,3125.03,27.63,-139.33,-7.36,-131.96,9.0
1709.91,1785.73,1706.1,1785.0,2222.26,3113.89,39.47,-132.16,-0.16,-132.0,-4.0
1756.11,1756.11,1700.2,1720.36,2201.58,3102.17,36.62,-130.19,1.45,-131.64,1.0
1739.66,1757.38,1710.76,1745.71,2180.87,3091.22,38.5,-125.15,5.2,-130.34,6.0
1771.68,1868.1,1771.68,1852.03,2161.15,3081.25,45.76,-111.28,15.25,-126.53,3.0
1929.93,1948.08,1884.95,1898.95,2142.36,3071.18,48.64,-95.41,24.89,-120.31,3.0
1881.19,1961.57,1868.76,1961.43,2126.13,3061.7,52.27,-76.91,34.72,-111.63,-3.0
1934.7,1946.92,1891.88,1909.57,2108.67,3051.54,49.16,-65.67,36.77,-102.44,1.0
1872.35,1941.57,1869.34,1923.22,2093.92,3041.77,50.0,-55.03,37.93,-92.95,8.0
2005.06,2129.31,1995.91,2079.44,2082.65,3032.34,58.49,-33.6,47.48,-81.08,5.0
2100.88,2182.14,2082.24,2182.14,2073.0,3023.29,62.94,-8.24,58.28,-66.51,-1.0
2171.9,2202.86,2135.32,2163.41,2064.11,3014.79,61.64,10.24,61.4,-51.16,-5.0
2118.36,2118.77,2046.84,2059.32,2054.06,3005.29,54.87,16.29,53.96,-37.67,-2.0
2055.32,2095.89,2012.37,2016.61,2044.97,2995.25,52.33,17.44,44.09,-26.65,2.0
2013.42,2066.97,2000.83,2059.8,2036.37,2985.65,54.62,21.58,38.59,-17.0,-1.0
