Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
47.45,48.18,47.4,47.65,47.36,56.7,54.9,0.17,0.45,-0.28,0.0
47.66,47.94,46.5,47.66,47.28,56.6,54.94,0.23,0.41,-0.18,0.0
47.8,48.12,47.45,47.88,47.22,56.5,55.91,0.29,0.38,-0.09,-3.0
47.88,47.93,46.05,46.6,47.11,56.39,49.24,0.23,0.26,-0.02,-2.0
46.46,46.46,45.31,45.55,47.0,56.27,44.54,0.1,0.1,0.0,-1.0
45.12,45.48,44.98,45.09,46.89,56.15,42.62,-0.04,-0.03,-0.0,1.0
45.09,46.21,44.77,45.35,46.77,56.02,44.09,-0.13,-0.1,-0.03,-1.0
45.36,45.36,44.3,44.75,46.66,55.91,41.46,-0.24,-0.17,-0.07,-1.0
44.63,44.73,43.7,44.11,46.55,55.79,38.8,-0.38,-0.25,-0.13,1.0
43.8,44.65,43.32,44.5,46.41,55.65,41.27,-0.45,-0.26,-0.2,-0.0
44.63,44.63,43.65,44.49,46.31,55.53,41.22,-0.51,-0.25,-0.26,-0.0
44.74,44.96,44.1,44.35,46.18,55.41,40.54,-0.55,-0.24,-0.32,2.0
44.35,45.55,44.35,45.36,46.07,55.29,47.31,-0.5,-0.15,-0.36,-0.0
45.4,45.95,45.0,45.25,45.97,55.17,46.69,-0.47,-0.09,-0.38,7.0
46.0,48.68,46.0,48.55,45.94,55.07,62.6,-0.17,0.17,-0.34,0.0
48.55,49.07,48.04,48.62,45.91,54.97,62.85,0.07,0.32,-0.26,1.0
48.61,49.65,48.24,49.15,45.92,54.87,64.8,0.3,0.44,-0.14,1.0
49.7,49.91,49.3,49.41,45.95,54.79,65.75,0.5,0.51,-0.02,2.0
49.5,50.69,49.02,50.48,46.01,54.71,69.39,0.73,0.6,0.13,-0.0
50.7,51.66,49.55,50.25,46.06,54.65,67.72,0.89,0.6,0.28,-0.0
50.24,50.61,49.42,50.05,46.13,54.61,66.23,0.98,0.56,0.42,-2.0
49.5,49.95,48.61,48.9,46.15,54.56,58.28,0.96,0.43,0.53,3.0
48.91,50.32,48.91,50.22,46.24,54.52,63.67,1.03,0.4,0.63,-1.0
50.09,50.19,48.9,49.5,46.32,54.46,59.18,1.02,0.31,0.71,1.0
49.51,50.14,49.14,49.81,46.42,54.43,60.47,1.02,0.25,0.77,-1.0
49.4,50.0,48.95,49.16,46.5,54.4,56.43,0.96,0.15,0.81,-1.0
49.08,49.43,48.38,48.55,46.55,54.38,52.87,0.85,0.04,0.82,1.0
48.51,48.84,48.29,48.84,46.61,54.33,54.34,0.78,-0.03,0.81,0.0
48.75,49.09,48.54,48.92,46.68,54.27,54.76,0.73,-0.07,0.79,1.0
49.0,50.0,48.75,49.54,46.75,54.22,58.0,0.72,-0.06,0.78,0.0
49.54,49.73,49.13,49.57,46.82,54.15,58.16,0.71,-0.05,0.77,-0.0
49.49,49.77,49.1,49.4,46.91,54.09,56.87,0.68,-0.07,0.75,-1.0
49.0,49.39,48.61,49.0,47.0,54.01,53.84,0.62,-0.1,0.72,-3.0
48.85,48.85,47.6,47.67,47.08,53.93,45.23,0.46,-0.21,0.67,-1.0
47.94,48.04,46.75,47.37,47.18,53.86,43.54,0.3,-0.29,0.6,0.0
47.3,47.37,46.7,47.37,47.3,53.8,43.54,0.18,-0.34,0.51,1.0
47.25,48.0,47.06,47.71,47.43,53.72,46.19,0.11,-0.33,0.43,0.0
47.75,48.17,47.12,47.93,47.52,53.64,47.89,0.06,-0.29,0.36,1.0
47.85,48.81,47.45,48.41,47.59,53.55,51.49,0.07,-0.23,0.3,-3.0
48.2,48.25,46.79,47.1,47.59,53.46,42.8,-0.03,-0.27,0.23,-1.0
47.1,47.24,46.12,46.56,47.57,53.36,39.81,-0.15,-0.31,0.16,-0.0
46.52,47.7,45.93,46.42,47.54,53.28,39.05,-0.26,-0.33,0.07,1.0
46.62,47.49,46.34,46.73,47.53,53.19,41.71,-0.31,-0.31,-0.0,-2.0
